dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.296710,0.207295,0.000195,0.019522,0.976113,48.805669,5.322718
0.020000,0.297624,0.205985,0.001793,0.079883,3.018053,102.096993,5.320462
0.020000,0.299666,0.203035,0.005381,0.179387,4.975183,97.856481,5.315404
0.020000,0.303024,0.198114,0.011338,0.297884,5.924842,47.482965,5.307034
0.020000,0.307630,0.191217,0.019632,0.414688,5.840198,-4.232208,5.295446
0.020000,0.313391,0.182342,0.030213,0.529028,5.717021,-6.158859,5.280777
0.020000,0.320186,0.171493,0.043014,0.640061,5.551653,-8.268403,5.263208
0.020000,0.327875,0.158687,0.057951,0.746877,5.340799,-10.542679,5.242973
0.020000,0.336296,0.143953,0.074922,0.848526,5.082460,-12.916959,5.220357
0.020000,0.345275,0.127343,0.093803,0.944064,4.776859,-15.280068,5.195698
0.020000,0.354630,0.108931,0.114455,1.032607,4.427186,-17.483623,5.169382
0.020000,0.364178,0.088814,0.136723,1.113407,4.039960,-19.361295,5.141837
0.020000,0.373745,0.067111,0.160442,1.185903,3.624833,-20.756341,5.113522
0.020000,0.383172,0.043962,0.185437,1.249779,3.193792,-21.552066,5.084914
0.020000,0.392322,0.019518,0.211537,1.304976,2.759835,-21.697877,5.056492
0.020000,0.401084,-0.006056,0.238570,1.351683,2.335362,-21.223629,5.028725
0.020000,0.409377,-0.032596,0.266376,1.390295,1.930593,-20.238464,5.002062
0.020000,0.417148,-0.059940,0.294803,1.421341,1.552295,-18.914877,4.976918
0.020000,0.424376,-0.087930,0.323711,1.445401,1.203016,-17.463955,4.953682
0.020000,0.431064,-0.116416,0.352971,1.463018,0.880832,-16.109198,4.932709
0.020000,0.437237,-0.145255,0.382464,1.474608,0.579504,-15.066409,4.914333
0.020000,0.442944,-0.174307,0.412071,1.480384,0.288829,-14.533748,4.898873
0.020000,0.448247,-0.203434,0.441677,1.480284,-0.005039,-14.693376,4.886655
0.020000,0.453224,-0.232489,0.471155,1.473894,-0.319503,-15.723233,4.878027
0.020000,0.457963,-0.261309,0.500362,1.460377,-0.675839,-17.816771,4.873383
0.020000,0.462560,-0.289707,0.529130,1.438377,-1.099995,-21.207802,4.873190
0.020000,0.467116,-0.317454,0.557248,1.405898,-1.623936,-26.197047,4.878028
0.020000,0.471729,-0.344263,0.584451,1.360150,-2.287404,-33.173428,4.888629
0.020000,0.476482,-0.369771,0.610398,1.297357,-3.139652,-42.612369,4.905936
0.020000,0.481425,-0.393513,0.634649,1.212562,-4.239764,-55.005611,4.931164
0.020000,0.486515,-0.414788,0.656525,1.093787,-5.938725,-84.948046,4.965651
0.020000,0.491562,-0.432741,0.675173,0.932417,-8.068509,-106.489195,5.010554
0.020000,0.496205,-0.446575,0.689766,0.729656,-10.138038,-103.476450,5.066426
0.020000,0.499964,-0.455880,0.699802,0.501776,-11.394024,-62.799298,5.133039
0.020000,0.502354,-0.460792,0.705264,0.273120,-11.432776,-1.937629,5.209474
0.020000,0.503021,-0.461959,0.706608,0.067205,-10.295744,56.851618,5.294054
0.020000,0.501882,-0.460420,0.708524,0.095769,1.428154,586.194895,5.384405
0.020000,0.499224,-0.457397,0.712548,0.201209,5.272041,192.194345,5.477349
0.020000,0.495691,-0.454045,0.717418,0.243519,2.115475,-157.828321,5.569395
0.020000,0.492108,-0.451202,0.721993,0.228713,-0.740281,-142.787791,5.657386
0.020000,0.489245,-0.449297,0.725431,0.171914,-2.839949,-104.983408,5.739001
0.020000,0.487651,-0.448400,0.727261,0.091484,-4.021501,-59.077596,5.812934
0.020000,0.487588,-0.448361,0.727334,0.003691,-4.389663,-18.408088,5.878778
0.020000,0.489082,-0.448940,0.728936,0.080076,3.819249,410.445609,5.936757
0.020000,0.491990,-0.449899,0.731998,0.153116,3.651995,-8.362701,5.987464
0.020000,0.496085,-0.451042,0.736250,0.212590,2.973698,-33.914831,6.031648
0.020000,0.501108,-0.452226,0.741410,0.258007,2.270845,-35.142697,6.070087
0.020000,0.506800,-0.453354,0.747214,0.290177,1.608521,-33.116195,6.103512
0.020000,0.512926,-0.454372,0.753424,0.310499,1.016103,-29.620859,6.132578
0.020000,0.519277,-0.455252,0.759835,0.320543,0.502175,-25.696443,6.157853
0.020000,0.525671,-0.455985,0.766271,0.321833,0.064499,-21.883763,6.179821
0.020000,0.531959,-0.456575,0.772586,0.315752,-0.304012,-18.425548,6.198888
0.020000,0.538011,-0.457036,0.778657,0.303512,-0.612027,-15.400770,6.215396
0.020000,0.543724,-0.457382,0.784379,0.286149,-0.868141,-12.805684,6.229627
0.020000,0.549009,-0.457633,0.789670,0.264547,-1.080129,-10.599390,6.241816
0.020000,0.553795,-0.457806,0.794459,0.239453,-1.254685,-8.727807,6.252155
0.020000,0.558023,-0.457919,0.798690,0.211505,-1.397397,-7.135635,6.260802
0.020000,0.561648,-0.457987,0.802315,0.181248,-1.512831,-5.771686,6.267885
0.020000,0.564631,-0.458024,0.805298,0.149155,-1.604642,-4.590542,6.273505
0.020000,0.566943,-0.458042,0.807610,0.115641,-1.675699,-3.552866,6.277741
0.020000,0.568565,-0.458048,0.809232,0.081078,-1.728191,-2.624593,6.280650
0.020000,0.569507,-0.458050,0.810174,0.047094,-1.699174,1.450876,6.282318
0.020000,0.569906,-0.458050,0.810574,0.019982,-1.355628,17.177268,6.283021
0.020000,0.570000,-0.458050,0.810667,0.004677,-0.765231,29.519862,0.000000
0.020000,0.570000,-0.458050,0.810667,0.000000,-0.233848,26.569156,0.000000
